"PROTOCOL_ID","PROTOCOL_TYPE_ID","NAME_KEY","DESCRIPTION_KEY"
"10","4","Spheroids","Spheroids Protocol"
"40","4","Pinball","Pinball Protocol"
"50","4","Hockey","Hockey Protocol"
"60","4","CleanTheTable","CleanTheTable Protocol"
"80","3","Constellations","Constellations Protocol"
"90","3","GraspAndPlace","GraspAndPlace Protocol"
"100","4","Follow The Line","Follow The Line protocol"
"110","1","Roadtrip","Roadtrip Protocol"
"120","4","Bricks_Arms","Bricks_Arms protocol"
"140","1","Boat","Boat protocol"
"151","2","Bubbles","Bubbles protocol"
"152","2","Demolition","Demolition Protocol"
"200","5","OS_trainingAR","Training AR"
"201","2","OS_memory","Memoseq"
"202","2","OS_pinturillo","Guess what?"
"203","2","OS_pianoseq","Piano Seq"
"204","2","OS_fitIn","Fit In"
"205","5","OS_alphabetAR","Alphabet AR"
"206","5","OS_balloonsAR","Balloons AR"
"207","5","OS_footballAR","Football AR"
"208","5","OS_shelvesAR","Shelves AR"
"209","5","OS_ducksAR","Ducks AR"
"210","5","OS_sushiAR","Sushi AR"
"211","1","OS_armanoid","Armanoid"
"212","5","OS_pachinkoAR","Pachinko AR"
"213","3","OS_knockablock","Knock a block"
"214","2","OS_blobs","Blobs"
"215","3","OS_shopping","Shopping"
"216","3","OS_cleaning","Cleaning"
"217","3","OS_driving","Driving"
"218","5","OS_spheroidsAR","Spheroids AR"
"219","5","OS_hockeyAR","Hockey AR"
"220","5","OS_circleAR","Circle activity AR"
"221","5","OS_whacamoleAR","Whac A Mole AR"
"222","2","OS_popurri","Popurri protocol"
"223","2","OS_twister","Twister Protocol"
"224","2","OS_memoryCards","Memory protocol"
"225","5","OS_cleaningAR","Cleaning AR"
"226","5","OS_tubes","Tubes protocol"
"227","5","OS_cleaningAR_vertical","Cleaning AR vertical"
"228","5","OS_circleAR_horizontal","Circle activity AR horizontal"
"229","2","OS_constellations","Constellations"
"230","5","OS_qualitycontrolAR","Quality Control AR"
"231","2","OS_balloonsBasic","Balloons Basic"
"232","2","OS_qualitycontrolBasic","Quality Control Basic"
"233","5","OS_constellationsAR","Constellations AR"
"234","3","OS_fallingObjects","Falling Objects"
"301","3","OS_MemoseqWeb","Memoseq"
"302","3","OS_memory_mirror","Memoseq Mirror"
"303","3","OS_Recycling","Recycling"
"304","3","OS_Whackamole","Whackamole"
"305","1","OS_FullBody","Full Body"
"306","1","OS_Balance","Balance protocol"
"307","2","OS_Sequences","Sequences"
"308","2","OS_Words","Words"
"309","1","OS_TwisterBuddy","Twister Buddy"
"310","1","OS_CostumeParty","Costume Party"
"311","1","OS_GentleGiant","Gentle Giant"
"401","3","El jardín","Visita al campo"
"402","3","La playa","Paseo por la playa"
"403","3","El acuario","Vamos a pescar"
"404","3","El universo","Descubriendo el espacio"
"405","3","Los números","Aritmetica"
"406","3","El río","Memoria"
"407","3","Las mariposas","Funcion ejecutiva"
"408","6","Paseo por la isla","Paseo por la isla"
"409","6","Atardecer entre amapolas","Atardecer entre amapolas"
"410","6","Calma en el lago","Calma en el lago"
"411","6","Sobrevolar los campos","Sobrevolar los campos"
"412","6","Relax en la playa","Relax en la playa"
"413","6","El sonido del agua","El sonido del agua"
"414","6","El vaivén de las olas","El vaivén de las olas"
